Designator,Mid X,Mid Y,Rotation,Layer
C1,218.5,-39.3,0.0,top
C2,210.7,-39.3,0.0,top
D1,214.2,-33.1,0.0,top
D10,202.8,-36.9,0.0,top
D2,225.53,-37.0,0.0,top
D3,232.0925,-47.625,0.0,top
D4,232.25125,-57.15,0.0,top
D5,225.6,-68.8,0.0,top
D6,214.13,-70.80625,0.0,top
D7,202.7,-68.4,0.0,top
D8,195.4,-58.7,0.0,top
D9,195.43,-46.5,0.0,top
H1,214.2,-62.2,0.0,top
H2,214.2,-65.8,0.0,top
R1,211.2,-56.8,0.0,top
R2,205.02,-60.96,0.0,top
RV1,202.2,-50.74,90.0,top
U1,211.09,-48.87,0.0,top
U2,222.49,-53.63,0.0,top
